USER|REVIEW_ID|ASIN_ORIGINAL_ID|ASIN_VARIANT_ID|REVIEWER_NAME|RATING|REVIEW_DATE|REVIEW_DATE_UNIX|TITLE|REVIEW|VERIFIED_PURCHASE|LOAD_DATE
user|R2DWO7PFQC2XJD|B07L38V2X1|B081G4RG7T|AJ|5|May 21, 2023|1684634400|Boxing gloves|Very comfortable for my son . Right fit .|True|2023-05-25 20:31:25.712810
user|R3O97UZJ9WHI6W|B07L38V2X1|B07L38V2X1|William scruton|5|May 17, 2023|1684288800|Perfect|Great glove feels amazing the size is a bit small if you have a bigger hand even if you get bigger gloves but they stretch fast so you can get them on easier|True|2023-05-25 20:31:25.712820
user|R383VCHU35WJCW|B07L38V2X1|B07L38V2X1|Ronald|1|May 12, 2023|1683856800|Disappointed.!|I bought a pair of the purple Hayabusa 16 oz gloves.. I rarely use them, and if you looked at them you’ld say they look brand new.. however if you took a closer look at them you would notice that the vinyl on one of the gloves is tearing in two places.. very disappointing.!|False|2023-05-25 20:31:25.712822
user|R1O85E9KIZSIZ0|B07L38V2X1|B07L374S9J|PLCHU|5|May 11, 2023|1683770400|Boxing|Great wrist support and alot of foam to protect knuckles|True|2023-05-25 20:31:25.712825
user|R2XUHG01QM87QT|B07L38V2X1|B081FKZ7QZ|Karolina T.|5|May 6, 2023|1683338400|Love them!|I love these! The look, the feel and they dry up fast with the breathable mesh inside! I recommend them and not only for beginners!|True|2023-05-25 20:31:25.712828
user|RRBJ4QNDMG596|B07L38V2X1|B081FLM21W|jacob kennedy|5|May 5, 2023|1683252000|Great gloves|Bought 2 pair one for Bag work and one for Sparring.Great gloves. Tight at first but will loosen with use.Feels lighter than 16oz, maybe because they are so compact.Will purchase again.|True|2023-05-25 20:31:25.712830
user|R3GR0IJPT817C2|B07L38V2X1|B081FTJLT8|Chad|5|May 4, 2023|1683165600|Stability and well made|These are excellent made glove's|True|2023-05-25 20:31:25.712832
user|R1Y1Y1XMRG3AUK|B07L38V2X1|B07L3878DK|ccrook82|5|May 2, 2023|1682992800|Beginner gloves|I am very new to boxing and about these gloves based on reviews and reputation. I purchased the small size and have been happy with them so far after taking 5 classes. They aren’t heavy and protect my hands/fingers well.|True|2023-05-25 20:31:25.712835
user|R359G1RXY7ZPI1|B07L38V2X1|B081FKVN8Z|MKPTFL|5|May 1, 2023|1682906400|Super gloves!|Comfortable and well padded.|True|2023-05-25 20:31:25.712838
user|RSAQJO3E71SVI|B07L38V2X1|B07L37G3MK|Ssg D|4|April 30, 2023|1682820000|Boxing gloves|There very stiff until you break them in.They look and feel very well put together.|True|2023-05-25 20:31:25.712841
user|RRD5D2Z3AM8CB|B07L38V2X1|B081FLM21W|Nevaeh Burgett|5|April 29, 2023|1682733600|Comfortable once you break them in|It’s like a baseball or softball mitt. After you break them in they work great .|True|2023-05-25 20:31:25.712845
user|R2P1E405FJG1VA|B07L38V2X1|B081G76C3J|Kirsten|5|April 27, 2023|1682560800|Love my new gloves|I bought these since I have recently started boxing and they are perfect for beginners. The wrist support is great and my hands have remained well protected. They are also very cute with multiple colors to choose from. Highly recommend!|True|2023-05-25 20:31:25.712848
user|R2PINHY9FI73IY|B07L38V2X1|B07L382PZ7|Zoe Scoville|2|April 25, 2023|1682388000|Insufficient padding|I will start off with the positives. The sweat wicking material is a really cool touch. I love the variety of colors to choose from. Now the cons; the padding is insufficient to say the least. I could see these being alright starter gloves for someone in boxing who is doing padwork or bagwork. Personally I find these gloves to lack wrist and thumb support which is helpful in preventing injury. I don't think I'll be using them because they do not fit in the wrist or thumb areas. I'd like to return them but Amazon hasn't given me the option.|True|2023-05-25 20:31:25.712850
user|R4PWYQ8WWB0C|B07L38V2X1|B07L37RCBK|David Lewis|5|April 25, 2023|1682388000|Don't think...just invest in a pair!!|Got a cheap pair just to start training...just for cardio and release some stress...but now I just signed up for a boxing match in July...gloves alone made up my mind for me...best pair of gloves I've EVER put on...they definitely know how to make a good glove!!|True|2023-05-25 20:31:25.712853
user|RYTX48BSPE9CO|B07L38V2X1|B081FKZ7QZ|Jon|5|April 22, 2023|1682128800|Great boxing glovee|Great product. Great wrist support. If you are looking forgood Haybusa gloves this are the ones.|True|2023-05-25 20:31:25.712855
user|R1SXN35A5PP4ZU|B07L38V2X1|B081FJGVC9|Diana Carolina Monsalve|3|April 21, 2023|1682042400|Pedido incompleto|Artículo de buena calidad, pero en la descripción dice que viene los guantes y unas vendas, pero estás no llegaron.|True|2023-05-25 20:31:25.712858
user|R11FH36LDEMJJT|B07L38V2X1|B081FTJLT8|kf|5|April 21, 2023|1682042400|Great boxing gloves tight on wrist|I had to size up to a large even though I have small wrists. Larger gloves are heavier but I love these. Sturdy, lots of cushion, doesn’t feel too bulky.|True|2023-05-25 20:31:25.712860
user|R2YCRX8RXUK3XR|B07L38V2X1|B07L37G3MK|Michael|3|April 16, 2023|1681610400|Awesome Design But Needs Some Improvements for Sweaty Hands|After testing the Hayabusa S4 Boxing Gloves for several weeks, my opinion is somewhat divided. The design is undeniably striking, and they do draw attention at the gym. Additionally, once they're on, they provide a comfortable, secure fit that offers ample support during training.Nonetheless, there are a couple of aspects that need improvement. Firstly, I found it quite challenging to insert and remove my hands from the gloves when they become sweaty. The inner lining seems to stick to my hands, which causes inconvenience during breaks in my training sessions. It would be great if the fabric were more resistant to moisture or designed to be more breathable.Another issue is the snugness of the 12oz gloves, which is the appropriate size for my weight category. While I appreciate the importance of a secure fit for better control, the gloves feel excessively tight. This makes it even more troublesome to wear and remove them, especially when factoring in the fabric problem.In summary, I rate these Hayabusa S4 Boxing Gloves with 3 stars. The impressive design and sense of security are commendable, but the inner fabric and fit could use some enhancements. If the manufacturer can address these concerns, these gloves have the potential to be a top-rated product. Until that happens, I'll be on the lookout for updates in future versions.|True|2023-05-25 20:31:25.712862
user|R33DBRFXTQ3VLX|B07L38V2X1|B081FL88PV|Ddad|2|April 14, 2023|1681437600|Very good quality but weight is inadequate|I ordered Large because it requires you to use 16oz to sparr. This item weighs a little less than 14oz.|True|2023-05-25 20:31:25.712865
user|R3CSQPOJBHNQ6S|B07L38V2X1|B07L38KPPQ|Donald L Holewinski|5|April 10, 2023|1681092000|Great training gloves|Great for my fitness boxing class. 14oz adds some extra weight to help with strength training. Splint wrist provides extra support when punching.|True|2023-05-25 20:31:25.712867
user|R3UPC645C7AGTG|B07L38V2X1|B081FLN14Z|Cameron |5|April 2, 2023|1680400800|Comfortable, noticeable wrist support.Snug fit|These are the most comfortable gloves I've worn and the wrist support is definitely noticeable.They fit well to their size chart.Also, there isn't a big gap between knuckles and the end of the glove for me like some others have had.They feel really good.One thing, using hand wraps with a gel pad may not work.I bought some hand wraps with gel pads on the knuckles but it was a serious pain to get the gloves on.Actually impossible to do both on my own.But I like the gloves, so I'm getting thinner non-gel hand wraps instead.I hope I can still put the gloves on with those.|True|2023-05-25 20:31:25.712871
user|R3NLZ7QQHNBFRX|B07L38V2X1|B081FLM21W|Michael L.|1|March 28, 2023|1679968800|Bought a defective pair of gloves, manufacturer would not exchange :/|I purchased a set of S4 gloves in 16 ounce based on the measurements on your website. After about two weeks, I noticed that the material inside the glove was rubbing against my pinky, and eventually cut me. I thought it was because I had to break them in, but I'm still having the same issue. I believe it's because the gloves are not snug enough. I really do like the quality of the gloves. But they are still cutting my pinky, so I reached out Hayabusa for an exchange. They said that since they were purchased through Amazon they could not honor their “guarantee”. Now Im stuck with a pair of $70 paper weights.|True|2023-05-25 20:31:25.712874
